word,folio
oha,['rose.west_ring']
oha,['rose.swest_ring']
oha,['rose.swest_center']
oha,['rose.south_ring']
oha,['rose.south_center']
oha,['rose.south_labels_3']
oha,['rose.seast_ring']
oha,['rose.seast_center_6']
oha,['rose.east_ring']
oha,['rose.east_center_1']
oha,['rose.neast_labels_2']
oha,['rose.north_ring']
oha,['rose.center_ring_1']
oha,['rose.center_ring_2']
oha,['88r.10']
oha,['88v.labels_middle']
oha,['89r1.labels_middle']
oha,['89r2.labels_bottom']
oha,['89v2.labels_top']
oha,['89v1.labels_top']
oha,['99r.labels_top_1']
oha,['101r1-r2.2']
oha,['101r1-r2.9']
oha,['101v2-v1.3']
oha,['101v2-v1.8']
9hayo,['67r1.outer_ring']
oay,['67v2.outer_ring_east_2']
oay,['67v2.sun_bottom_right']
oay,['68r3.pieslice_1']
oay,['68v3.t_map_3']
oay,['69v.2nd_ring']
oay,['69v.3rd_ring']
oay,['69v.radial_4']
oay,['70r2.outside_ring']
oay,['70r2.2nd_ring']
oay,['71r.outer_ring']
oay,['71r.4th_ring']
oay,['72r2.center_ring']
oay,['72r3.6th_ring']
oay,['73v.outer_ring']
oay,['rose.west_ring']
oay,['99r.labels_middle_1']
oay,['101r1-r2.7']
hay9,['72v3.4th_ring']
hay9,['rose.seast_ring']
hay9,['rose.east_center_2']
hay9,['rose.neast_center_2']
hay9,['99r.labels_top_1']
yam,['71v.2nd_ring']
yam,['72r3.4th_ring']
yam,['72r3.center_ring']
yam,['72v2.outer_ring']
yam,['72v2.4th_ring']
yam,['73v.2nd_ring']
yam,['85r2.quad_2_3']
yam,['86v4.2nd_ring']
yam,['86v3.north_1']
yam,['rose.nwest_ring']
yam,['rose.west_ring']
yam,['rose.south_center']
yam,['rose.east_center_2']
yam,['rose.center_ring_1']
yam,['101v2-v1.1']
yam,['102v2.labels_middle']
yan,['72r3.outer_ring']
yan,['73v.4th_ring']
yan,['85r2.quad_4_1']
yan,['89r1.labels_middle']
yan,['89r2.labels_middle_2']
yan,['89r2.labels_bottom']
ya9,['70v1.4th_ring']
9oya,['89r2.labels_bottom']
9oh,['88r.5']
oyh,['67v1.center_12']
oyh,['68v3.inner_ring']
oyh,['77r.labels_top']
haT,['70v2.2nd_ring']
ham,['67r1.outer_ring']
ham,['67r1.2nd_ring']
ham,['68v3.outer_ring']
ham,['71v.3rd_ring']
ham,['71v.center_ring']
ham,['72r1.outer_ring']
ham,['72r1.3rd_ring']
ham,['72r2.outer_ring']
ham,['72r2.center_ring']
ham,['72r3.2nd_ring']
ham,['72v2.4th_ring']
ham,['83v.label_bottom_2']
ham,['85r2.outer_ring']
ham,['86v3.north_1']
ham,['86v3.north_2']
ham,['86v3.north_4']
ham,['86v3.north_6']
ham,['86v3.east_2']
ham,['86v3.west_2']
ham,['rose.nwest_ring']
ham,['rose.swest_ring']
ham,['rose.south_ring']
ham,['rose.seast_ring']
ham,['rose.north_ring']
ham,['rose.center_ring_1']
ham,['88r.10']
ham,['88v.labels_middle']
ham,['89r1.labels_middle']
ayom,['89r2.labels_middle']
aym,['101r1-r2.7']
oya,['67r2.2nd_ring_3']
oya,['67r2.2nd_ring_12']
oya,['67r2.center_ring']
oya,['67v2.center_2']
oya,['72r2.2nd_ring']
oya,['72r3.outer_ring']
oya,['72r3.3rd_ring']
oya,['72r3.4th_ring']
oya,['72r3.center_ring']
oya,['72v2.outer_ring']
oya,['72v2.2nd_ring']
oya,['72v2.4th_ring']
oya,['73v.2nd_ring']
oya,['77r.labels_top']
oya,['77v.label_left_1']
oya,['85r2.quad_2_3']
oya,['85r2.quad_2_4']
oya,['85r2.quad_4_1']
oya,['85r2.quad_4_6']
oya,['86v4.2nd_ring']
oya,['rose.nwest_label_2']
oya,['rose.east_center_2']
oya,['rose.neast_labels_5']
oya,['88r.labels_top']
oya,['88r.labels_middle']
oya,['88r.labels_bottom']
oya,['88v.labels_middle']
oya,['89r1.labels_middle']
oya,['89r2.labels_middle_2']
oya,['89r2.labels_bottom']
oya,['99v.labels_jars']
oya,['101v2-v1.labels_1']
oya,['101v2-v1.labels_2']
oya,['101v2-v1.1']
oya,['102v2.labels_middle']
oy9,['68r2.labels_2']
oy9,['68r3.pieslice_4']
oy9,['70r1.2nd_ring']
oy9,['72r3.4th_ring']
oy9,['72v3.outer_ring']
